# "asas_sn_id":283469191574,"ra_deg":283.68017,"dec_deg":-10.16775,"source_number":50132,"name":"NSV 11508","variability_flag":2,"lii":24.22743618,"bii":-5.3386624,"variability_type":"CST","max_mag_type":null,"max_mag_limit":null,"max_mag":13.9,"max_mag_flag":null,"max_mag_system":"V","min_mag_type":null,"min_mag_limit":null,"min_mag":null,"min_mag_flag":null,"min_mag_system":null,"epoch":null,"epoch_flag":null,"period_limit":null,"period":null,"period_flag":null,"ref_bibcode_1":"1971afcv.book.....T","ref_bibcode_2":"2009yCat....102025S","ref_bibcode_others":"2017PASP..129j4502K","class":2900
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
283469191574,2457117.0595346,13.683338873731682,0.28379018380702187,13.619301198061674,0.02254329838214878,16.079862970420283,1.45,bd104083,bd,B,V
283469191574,2457119.0497794,12.681878184372971,0.16921298172325505,13.701822461365488,0.014503147828186637,16.641272197946247,1.53,bd104451,bd,G,V
283469191574,2457133.0150929,12.930278129161117,0.10848047105513098,13.680761737973231,0.009119181684791611,17.123977487763096,1.41,bd107875,bd,G,V
283469191574,2457136.059176,13.19615020223577,0.08042242132908926,13.658663279113256,0.00662433164354974,17.448913532315792,1.46,bd108545,bd,G,V
283469191574,2457137.0864359,13.0795838582456,0.095472189799121,13.668296587922255,0.007934053596166182,17.26266418397653,1.46,bd108901,bd,G,V
283469191574,2457138.0933631,13.11248072590499,0.061062243024814694,13.665569247440363,0.0050617426767093476,17.74792451023742,1.60,bd109242,bd,G,V
283469191574,2457155.9919257,12.89163314426494,0.0961031346784583,13.684011558648077,0.008102924418446936,17.25551250953799,1.64,bd112357,bd,G,V
283469191574,2457156.9842526,13.118000943775025,0.09269772821168508,13.665112259988618,0.007680926435510439,17.29468366665494,1.63,bd112622,bd,G,V
283469191574,2457162.0466525,13.210497562376121,0.07834292155422347,13.657483466361652,0.006446036503423246,17.477356985756487,1.54,bd113655,bd,B,V
283469191574,2457166.9496996,12.922351345405772,0.08234734265672831,13.681427542307652,0.006926601727203472,17.423232420982337,1.55,bd114857,bd,G,V
283469191574,2457172.9029386,13.05767844009703,0.1406222331823938,13.670116480982307,0.011705775583334696,16.84222141726839,1.37,bd116081,bd,G,V
283469191574,2457181.0436542,13.53592513843607,0.19939782934434747,13.631061545017731,0.01601196584716826,16.4630553280571,1.63,bd117989,bd,G,V
283469191574,2457182.013553,12.919057342911143,0.10913322984331418,13.681704339739982,0.009182022555363599,17.117463872379272,1.61,bd118257,bd,G,V
283469191574,2457183.0015997,13.198642526525663,0.09405889902372905,13.658458238160566,0.007746094609045916,17.278856666314283,1.53,bd118408,bd,G,V
283469191574,2457183.9313237,12.834063201511116,0.07529883496590774,13.688870970393838,0.006377291311446484,17.52038575170745,1.49,bd118660,bd,G,V
283469191574,2457190.0131149,13.472401223604166,0.1405921546423861,13.636168884173594,0.011343008336639773,16.84245367679288,1.48,bd119760,bd,B,V
283469191574,2457191.0226537,12.75203712577367,0.10929470881000239,13.695832483413096,0.009316048515299765,17.11585855033612,1.75,bd120082,bd,B,V
283469191574,2457191.9990318,13.248553152358285,0.09686035032077657,13.654360273411632,0.00794675375253065,17.24699130504474,1.40,bd120333,bd,G,V
283469191574,2457192.9783483,13.290479680113961,0.06354675684671382,13.650929765051972,0.005197145885807039,17.70462291634633,1.49,bd120501,bd,G,V
283469191574,2457194.9997669,13.000421902310352,0.06772420448707316,13.674887787812962,0.005662375136743567,17.635496612787996,1.63,bd121112,bd,G,V
283469191574,2457200.8199216,12.974782465138148,0.05521197304661196,13.677031191487831,0.004625358023716274,17.8572732254306,1.49,bd122512,bd,G,V
283469191574,2457203.909573,13.370413728940614,0.1732983641632935,13.644419289238636,0.014088403766166758,16.615370235567973,1.45,bd123447,bd,G,V
283469191574,2457208.8285412,13.130987278380477,0.15377773724314453,13.664037953072155,0.012729409514387854,16.745122728165114,1.61,bd124575,bd,G,V
